len(arr),time
4096,0.001
8192,0.001 
16384,0.003 
32768,0.007 
65536,0.031 
131072,0.035
262144,0.092
524288,0.193 
1048576,0.551     
2097152,1.057 
4194304,2.308 
8388608,5.189 
16777216,11.141 
33554432,24.964 
67108864,54.786 
134217728,123.809           
